date,probe,cone_deg,dp_nPa,Dn,EB,qc_transition,boundary_note,cone_bin
2007-08-26,tha,60.3,3.65,0.726,1.0376,clean,plausible,perpendicular
2007-08-26,thb,60.3,3.65,0.8968,1.3104,clean,plausible,perpendicular
2007-08-26,thc,60.3,3.65,0.676,1.627,clean,plausible,perpendicular
2007-08-26,thd,60.3,3.65,0.6787,1.7351,clean,plausible,perpendicular
2007-08-26,the,60.3,3.65,0.7288,1.5901,clean,plausible,perpendicular
2008-08-18,thd,50.6,3.55,0.7524,1.3402,clean,plausible,intermediate
2008-08-18,the,48.8,3.87,1.3809,1.7102,mixed,plausible,intermediate
2008-08-28,thb,65.4,1.61,0.0864,12.4706,clean,uncertain,perpendicular
2008-08-28,thc,65.4,1.61,0.0221,3.5582,clean,uncertain,perpendicular
2008-09-03,thc,55.6,1.42,0.0208,5.4418,clean,uncertain,intermediate
2008-09-03,the,60.4,3.33,2.3844,0.8841,unclear,plausible,perpendicular
2008-09-05,thb,52.3,1.44,0.8051,11.8841,clean,uncertain,intermediate
2008-09-05,thc,52.3,1.44,0.1948,3.4403,clean,uncertain,intermediate
2008-09-09,thb,49.4,1.64,0.4893,17.3015,clean,uncertain,intermediate
2008-09-09,thc,49.4,1.64,0.2588,5.7949,clean,uncertain,intermediate
2008-09-14,thc,54.4,6.74,0.4201,9.7028,clean,uncertain,intermediate
2008-09-14,thd,61.5,6.74,4.5909,2.5982,mixed,uncertain,perpendicular
2008-09-14,the,52.4,6.81,3.5874,2.0909,mixed,uncertain,intermediate
2008-09-16,thb,65.6,1.06,0.5508,17.1507,clean,uncertain,perpendicular
2008-09-16,thc,66.3,1.06,0.5002,5.3773,clean,uncertain,perpendicular
2008-09-20,thb,43.0,1.5,0.1366,15.0692,clean,uncertain,low-cone
2008-09-20,thc,44.4,1.5,0.0684,4.3722,clean,uncertain,low-cone
2009-09-13,tha,70.0,2.09,1.0488,1.8518,mixed,plausible,perpendicular
2009-09-13,thd,65.7,3.87,0.8181,1.6512,clean,plausible,perpendicular
2009-09-13,the,62.7,4.03,0.974,1.7736,clean,plausible,perpendicular
2009-09-26,thd,67.9,2.93,0.7368,2.4284,clean,plausible,perpendicular
2009-09-26,the,58.6,3.07,0.9713,1.3659,clean,plausible,intermediate
2009-09-27,thd,64.2,2.99,0.9162,1.8664,clean,plausible,perpendicular
2009-09-27,the,70.1,2.99,0.9893,1.3572,clean,plausible,perpendicular
2009-10-16,tha,50.9,1.4,1.164,1.7609,mixed,uncertain,intermediate
2009-10-16,thc,60.1,0.81,3.1331,5.8343,mixed,uncertain,perpendicular
2009-10-22,tha,81.1,3.25,1.2353,1.5673,mixed,plausible,perpendicular
2009-10-22,thd,81.6,2.24,3.6713,4.8268,mixed,plausible,perpendicular
2010-10-11,tha,67.4,4.05,0.4931,1.9133,clean,plausible,perpendicular
2010-10-11,thd,67.9,3.82,0.007,2.2085,clean,plausible,perpendicular
2010-10-11,the,67.5,4.04,0.006,2.0575,clean,plausible,perpendicular
2010-10-23,tha,53.6,3.57,1.3771,1.2582,mixed,plausible,intermediate
2010-10-23,thd,57.3,3.71,1.3667,1.2105,mixed,plausible,intermediate
2010-10-23,the,53.4,3.55,1.3701,1.2534,mixed,plausible,intermediate
2010-11-10,tha,81.6,3.69,1.5765,2.9298,mixed,plausible,perpendicular
2010-11-10,thd,80.7,3.56,1.4654,2.3535,mixed,plausible,perpendicular
2010-11-10,the,84.6,3.76,1.962,2.046,mixed,plausible,perpendicular
2013-01-13,thd,52.7,2.89,0.69,1.914,clean,plausible,intermediate
2013-01-13,the,52.7,2.92,0.9442,1.4592,clean,plausible,intermediate
2013-01-26,tha,55.1,3.3,0.751,1.3619,clean,plausible,intermediate
2013-01-26,thd,71.2,4.59,0.4918,2.1741,clean,plausible,perpendicular
2013-01-26,the,64.0,4.22,0.7087,1.5588,clean,plausible,perpendicular
2014-02-19,thd,69.5,2.31,0.0403,1.0048,clean,plausible,perpendicular
2014-02-19,the,63.6,5.01,0.3256,1.3856,clean,plausible,perpendicular
2014-02-23,tha,84.1,2.68,0.3218,1.9117,clean,plausible,perpendicular
2014-02-23,thd,79.2,3.93,39.9956,1.7009,mixed,plausible,perpendicular
2014-02-23,the,68.6,4.92,0.2296,10.3368,clean,plausible,perpendicular
2014-02-27,thd,88.5,3.27,1.8186,2.2966,mixed,plausible,perpendicular
2014-02-27,the,52.2,5.77,1.97,1.0277,mixed,plausible,intermediate
2014-03-20,tha,75.9,2.47,1.1454,1.209,mixed,plausible,perpendicular
2014-03-20,the,81.0,4.29,0.9825,1.444,clean,plausible,perpendicular
2015-03-17,tha,66.2,10.96,0.7086,3.3547,clean,uncertain,perpendicular
2015-03-17,thd,73.2,4.49,1.1408,1.8558,mixed,plausible,perpendicular
2015-03-17,the,71.1,5.8,0.4683,2.3746,clean,plausible,perpendicular
2015-04-14,tha,55.0,8.12,0.0936,12.3807,clean,uncertain,intermediate
2015-04-14,thd,47.2,9.16,0.2461,14.4736,clean,uncertain,intermediate
2015-04-14,the,47.4,8.61,0.0405,9.2867,clean,uncertain,intermediate
2015-04-15,tha,48.0,5.99,0.9724,15.8355,clean,plausible,intermediate
2015-04-15,thd,50.4,5.92,0.2823,5.3531,clean,plausible,intermediate
2015-04-15,the,45.0,5.92,0.2202,5.13,clean,plausible,low-cone
2015-04-16,tha,51.4,4.25,0.2,4.3485,clean,plausible,intermediate
2015-04-16,thd,76.5,4.86,0.2663,3.837,clean,plausible,perpendicular
2015-04-16,the,57.7,4.46,0.2837,3.8986,clean,plausible,intermediate
2015-04-20,tha,46.6,7.57,0.1266,11.0289,clean,uncertain,intermediate
2015-04-20,thd,62.3,7.64,0.0538,3.0569,clean,uncertain,perpendicular
2015-04-20,the,48.5,7.64,0.0553,3.8102,clean,uncertain,intermediate
2015-04-21,tha,58.1,3.12,0.1187,3.9892,clean,plausible,intermediate
2015-04-21,thd,50.0,3.1,0.0994,3.3015,clean,plausible,intermediate
2015-05-06,thd,76.1,4.33,1.0021,1.531,mixed,plausible,perpendicular
2015-05-06,the,78.5,4.29,1.1169,1.2298,mixed,plausible,perpendicular
