encounter_id,spacecraft,date,year,month,probe,sza_deg,mlt,cone_deg,clock_deg,dp_nPa,bz_nT,near_occ,bg_occ,Dn,EB,qc_transition_cleanliness,qc_disturbance,qc_boundary_motion,omni_context_quality_note,boundary_uncertainty_note,routeC_core_usable,exclude_reason,cone_bin
exp_20100909_the,themis,2010-09-09,2010,9,the,7.3,12.2,76.7,346.1,1.53,0.77,0.6495,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100907_tha,themis,2010-09-07,2010,9,tha,11.6,12.2,54.9,130.0,1.5,-2.07,0.6574,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100910_thd,themis,2010-09-10,2010,9,thd,7.5,12.3,75.8,330.3,0.81,2.14,0.5789,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100909_thd,themis,2010-09-09,2010,9,thd,8.2,12.3,74.2,327.0,1.51,0.3,0.6156,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100906_thd,themis,2010-09-06,2010,9,thd,8.1,,,,,,,,,,,,,,,False,insufficient MOM data,unknown
exp_20100902_thd,themis,2010-09-02,2010,9,thd,13.6,12.6,55.1,271.8,2.02,0.14,0.5682,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,intermediate
exp_20100911_tha,themis,2010-09-11,2010,9,tha,9.5,12.1,31.8,313.5,0.72,1.11,0.6321,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20100911_the,themis,2010-09-11,2010,9,the,6.4,12.1,32.3,313.4,0.71,1.12,0.6092,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20100912_tha,themis,2010-09-12,2010,9,tha,9.0,12.1,52.7,291.9,0.75,0.94,0.653,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100910_the,themis,2010-09-10,2010,9,the,6.9,,,,,,,,,,,,,,,False,FGM not 3-component,unknown
exp_20100910_tha,themis,2010-09-10,2010,9,tha,10.0,12.1,75.6,330.6,0.81,2.15,0.6304,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100913_tha,themis,2010-09-13,2010,9,tha,8.4,12.1,68.6,273.2,1.23,0.2,0.6971,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100913_the,themis,2010-09-13,2010,9,the,5.3,12.1,68.9,273.5,1.23,0.22,0.6715,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100914_tha,themis,2010-09-14,2010,9,tha,7.9,12.0,78.0,70.1,2.98,2.49,0.6686,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100914_the,themis,2010-09-14,2010,9,the,4.8,12.1,77.9,71.0,2.99,2.37,0.6816,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100914_thd,themis,2010-09-14,2010,9,thd,5.1,12.2,78.3,68.1,2.98,2.67,0.7025,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100911_thd,themis,2010-09-11,2010,9,thd,6.9,12.2,31.5,313.2,0.73,1.09,0.5788,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20100912_thd,themis,2010-09-12,2010,9,thd,6.2,12.2,52.4,291.5,0.75,0.92,0.5959,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100915_tha,themis,2010-09-15,2010,9,tha,7.5,12.0,79.5,344.5,1.92,4.61,0.7503,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100916_tha,themis,2010-09-16,2010,9,tha,7.0,12.0,81.1,0.6,3.94,6.33,0.5717,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100913_thd,themis,2010-09-13,2010,9,thd,5.6,12.2,68.1,272.6,1.22,0.16,0.6396,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100915_the,themis,2010-09-15,2010,9,the,6.4,12.3,79.1,343.6,1.95,4.61,0.8567,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100917_tha,themis,2010-09-17,2010,9,tha,6.5,12.0,47.5,298.0,1.32,0.41,0.74,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100916_thd,themis,2010-09-16,2010,9,thd,3.9,12.1,79.9,2.2,3.92,6.34,0.5879,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100916_the,themis,2010-09-16,2010,9,the,3.9,12.0,81.3,0.3,3.95,6.33,0.5733,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100918_tha,themis,2010-09-18,2010,9,tha,6.0,12.0,39.9,291.4,1.18,0.49,0.7482,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20100918_thd,themis,2010-09-18,2010,9,thd,2.9,12.1,39.3,292.5,1.19,0.48,0.6856,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20100917_the,themis,2010-09-17,2010,9,the,3.4,12.0,46.9,296.9,1.32,0.39,0.7156,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100919_tha,themis,2010-09-19,2010,9,tha,5.5,12.0,80.0,130.9,1.65,-1.74,0.7544,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100915_thd,themis,2010-09-15,2010,9,thd,4.5,12.1,82.2,351.6,1.89,4.66,0.6923,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100919_thd,themis,2010-09-19,2010,9,thd,2.5,12.1,77.8,130.3,1.42,-1.74,0.7146,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100919_the,themis,2010-09-19,2010,9,the,2.6,12.0,80.0,130.9,1.63,-1.74,0.7597,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100920_tha,themis,2010-09-20,2010,9,tha,5.0,12.0,58.1,267.9,1.64,-0.05,0.7919,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100920_thd,themis,2010-09-20,2010,9,thd,2.1,12.1,61.2,264.0,1.61,-0.14,0.7284,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100920_the,themis,2010-09-20,2010,9,the,2.2,12.0,58.1,267.9,1.63,-0.05,0.7661,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100917_thd,themis,2010-09-17,2010,9,thd,3.4,12.1,47.8,303.7,1.33,0.51,0.6793,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100921_tha,themis,2010-09-21,2010,9,tha,4.6,12.0,73.2,18.6,1.2,3.09,0.8053,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100918_the,themis,2010-09-18,2010,9,the,3.0,12.0,39.9,291.4,1.18,0.49,0.7224,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20100921_thd,themis,2010-09-21,2010,9,thd,1.6,12.1,72.7,18.6,1.21,3.21,0.7331,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
